DateTime,AddedIPs,RemovedIPs
1583741122,0,1
1583744722,0,2
1583747420,17,0
1583763323,15,0
1583768423,0,1
1583770221,25,0
1583787925,0,1
1583797823,31,0
1583805920,0,2
1583817322,4,0
1583817622,24,2
1583817925,0,3
1583827821,0,1
1583833822,0,1
1583838324,0,1
1583841925,0,1
1583845523,0,1
1583851222,0,2
1583851822,4,0
1583852122,34,0
1583856323,0,1
1583859923,0,4
1583863523,0,1
1583865322,0,1
1583871321,0,1
1583884221,64,0
1583903722,108,1
1583917522,0,2
1583921122,0,1
1583927721,36,1
1583928025,11,0
1583928325,0,1
1583935824,2,0
1583940625,392,0
1583940921,0,1
1583941223,0,1
1583942122,0,10
1583942427,0,5
1583942724,0,14
1583943022,0,8
1583943323,0,11
1583943624,0,10
1583943925,0,2
1583944224,0,2
1583944520,0,3
1583944825,0,4
1583945123,0,6
1583945425,0,11
1583945721,0,7
1583957123,0,1
1583993125,0,1
1584003925,0,1
1584006629,67,2
1584006926,1,0
1584007525,0,1
1584009028,0,1
1584018326,0,1
1584026128,255,0
1584027027,12,0
1584028224,0,2
1584032430,161,0
1584036328,0,1
1584050723,0,1
1584076831,72,0
1584086729,0,3
1584090326,0,1
1584093928,0,1
1584108324,0,1
1584114025,63,0
1584114325,1,0
1584135323,17,1
1584137726,2,0
1584138026,39,0
1584167723,0,1
1584183025,40,0
1584183322,22,0
1584183923,0,2
1584194125,27,0
1584204326,0,1
1584204626,0,1
1584206725,1,0
1584207025,1,0
1584218426,0,1
1584252624,48,0
1584258924,24,0
1584263424,0,1
1584269425,18,0
1584270330,0,1
1584288025,12,0
1584289224,0,1
1584317124,0,2
1584324323,0,1
1584335725,182,2
1584336027,24,0
1584341723,1,0
1584353122,0,1
1584356725,0,1
1584364224,0,3
1584371124,0,2
1584373527,0,1
1584374727,0,1
1584378331,0,2
1584385529,0,1
1584389729,58,0
1584421527,0,1
1584421823,0,2
1584434728,68,1
1584440424,2,0
1584440725,30,0
1584443124,0,4
1584448223,7,0
1584448524,5,0
1584457525,0,1
1584461125,0,1
1584465324,0,2
1584468327,0,1
1584486324,0,1
1584508824,0,2
1584509131,0,1
1584509424,44,0
1584509723,5,0
1584517224,0,1
1584523528,75,0
1584523825,1,0
1584536124,0,1
1584536726,0,1
1584540927,0,2
1584543926,0,2
1584548723,6,0
1584549028,12,0
1584551724,0,1
1584554729,0,1
1584576325,0,6
1584594624,52,1
1584608123,23,0
1584619524,0,1
1584624327,17,0
1584626725,0,3
1584631525,2,0
1584633323,1,0
1584633924,1,0
1584637524,0,1
1584672625,1,0
1584673523,0,1
1584681024,0,3
1584681926,0,1
1584687927,0,1
1584709528,0,1
1584717025,0,1
1584719436,39,0
1584728724,0,1
1584729925,0,2
1584732625,55,0
1584732922,30,0
1584740121,13,0
1584741922,0,1
1584774326,0,1
1584787528,23,1
1584788725,0,1
1584794425,76,0
1584802224,10,0
1584820525,112,0
1584831925,0,1
1584849632,5,0
1584849929,10,0
1584852625,48,0
1584860729,0,1
1584883228,0,1
1584884126,64,0
1584889527,0,2
1584891325,20,0
1584891928,2,0
1584893127,0,1
1584909929,0,1
1584910226,55,1
1584918327,0,2
1584925521,0,1
1584932725,0,1
